day;avg_size;avg_speed;avg_senserange;n_creatures
263;1034;1119;987;36
264;1034;1121;987;38
265;1034;1120;986;41
266;1034;1121;987;42
267;1034;1121;987;44
268;1034;1121;987;44
269;1034;1122;985;44
270;1034;1122;984;43
271;1033;1121;983;42
272;1034;1122;984;43
273;1034;1122;982;41
274;1034;1123;981;38
275;1032;1123;981;39
276;1031;1123;981;42
277;1031;1124;981;39
278;1030;1124;981;39
279;1028;1123;981;40
280;1029;1122;982;45
281;1029;1122;982;46
282;1028;1122;981;40
283;1028;1124;980;42
284;1029;1123;980;45
285;1028;1123;980;46
286;1026;1124;981;46
287;1024;1126;981;49
288;1024;1126;978;42
289;1023;1125;977;39
290;1022;1124;979;37
291;1021;1123;980;43
292;1020;1124;981;39
293;1019;1122;981;40
294;1020;1121;979;38
295;1020;1120;979;44
296;1021;1118;979;43
297;1020;1116;981;40
298;1021;1115;982;43
299;1022;1117;984;45
300;1023;1116;985;39
301;1024;1116;986;39
302;1024;1117;985;44
303;1023;1118;986;41
304;1023;1119;986;39
305;1024;1122;986;44
306;1025;1122;986;38
307;1027;1123;986;42
308;1026;1124;985;39
309;1025;1125;985;41
310;1025;1125;985;45
311;1024;1125;986;45
312;1022;1126;988;45
313;1023;1126;988;40
314;1023;1127;988;41
315;1024;1126;988;41
316;1024;1127;987;41
317;1022;1126;987;41
318;1020;1126;988;34
319;1020;1122;989;31
320;1021;1122;988;34
321;1021;1123;988;41
322;1021;1123;988;42
323;1022;1124;987;43
324;1023;1124;989;41
325;1027;1124;990;44
326;1029;1123;991;39
327;1030;1124;993;34
328;1030;1124;991;39
329;1032;1125;989;42
330;1032;1124;988;41
331;1034;1124;989;37
332;1033;1124;989;42
333;1032;1123;991;43
334;1030;1122;991;40
335;1028;1121;990;38
336;1027;1122;989;39
337;1027;1122;989;43
338;1029;1122;989;38
339;1029;1122;988;38
340;1029;1122;988;46
341;1028;1123;986;47
342;1027;1123;986;35
343;1024;1122;985;37
344;1021;1123;986;38
345;1019;1123;988;33
346;1021;1122;990;34
347;1022;1122;993;39
348;1021;1122;995;38
349;1020;1121;994;43
350;1019;1121;994;44
351;1018;1121;996;44
352;1016;1122;999;42
353;1015;1121;1000;46
354;1015;1122;1001;47
355;1016;1121;1001;43
356;1015;1124;1000;43
357;1015;1123;1002;45
358;1014;1123;1002;46
359;1015;1125;1003;45
360;1014;1126;1003;41
361;1015;1126;1003;41
362;1015;1127;1002;35
363;1016;1126;1003;37
364;1015;1127;1003;45
365;1015;1127;1004;41
366;1014;1128;1003;40
367;1015;1127;1004;42
368;1014;1128;1005;44
369;1013;1128;1005;40
370;1013;1130;1007;38
371;1013;1129;1008;37
372;1012;1131;1007;40
373;1013;1134;1007;45
374;1013;1136;1007;41
375;1012;1137;1007;44
376;1012;1137;1007;38
377;1013;1137;1007;39
378;1013;1136;1006;33
379;1013;1136;1007;34
380;1012;1135;1007;36
381;1012;1134;1007;38
382;1012;1134;1007;38
383;1012;1134;1006;40
384;1012;1133;1007;41
385;1013;1133;1007;42
386;1013;1132;1006;35
387;1011;1130;1006;39
388;1010;1127;1005;37
389;1010;1128;1005;39
390;1011;1128;1004;34
391;1010;1128;1003;40
392;1010;1128;1001;45
393;1011;1129;1001;40
394;1010;1128;1002;39
395;1011;1129;1002;42
396;1011;1129;1003;40
397;1012;1129;1004;38
398;1013;1128;1005;35
399;1012;1126;1002;34
400;1011;1124;1002;37
401;1012;1124;1001;36
402;1010;1122;1001;38
403;1009;1123;1001;36
404;1010;1123;1003;40
405;1010;1123;1004;40
406;1009;1123;1004;40
407;1009;1125;1002;44
408;1010;1126;1003;42
409;1010;1127;1001;42
410;1009;1127;1001;40
411;1010;1127;1002;44
412;1011;1125;1002;42
413;1011;1125;1001;38
414;1011;1125;1002;41
415;1011;1124;1002;39
416;1012;1125;1002;42
417;1011;1126;1002;41
418;1011;1125;1003;44
419;1010;1125;1003;39
420;1010;1126;1004;39
421;1009;1126;1003;44
422;1011;1125;1002;44
423;1011;1125;1002;39
424;1012;1125;1001;40
425;1011;1125;1001;42
426;1010;1125;999;44
427;1011;1125;999;39
428;1010;1125;1000;40
429;1010;1125;999;39
430;1011;1125;999;42
431;1012;1126;999;38
432;1012;1126;998;37
433;1011;1127;999;38
434;1011;1128;1001;40
435;1011;1129;1000;34
436;1012;1129;1003;35
437;1013;1130;1003;37
438;1013;1130;1004;42
439;1014;1129;1003;39
440;1015;1129;1003;39
441;1015;1128;1002;42
442;1016;1129;1001;43
443;1017;1129;1001;37
444;1017;1130;999;43
445;1018;1130;999;46
446;1018;1130;999;33
447;1018;1130;998;36
448;1018;1130;997;42
449;1018;1131;996;45
450;1018;1132;995;39
451;1017;1132;995;44
452;1017;1132;996;40
453;1018;1133;996;47
454;1018;1133;996;41
455;1017;1133;996;40
456;1016;1133;994;43
457;1017;1132;994;43
458;1016;1131;991;43
459;1017;1131;990;39
460;1018;1132;990;37
461;1018;1132;991;39
