day	avg_size	avg_speed	avg_senserange	n_creatures
245	1021	1781	1039	183
246	1021	1784	1039	196
247	1021	1786	1039	181
248	1022	1789	1039	170
249	1022	1791	1039	190
250	1022	1793	1038	195
251	1021	1795	1037	157
252	1021	1797	1037	148
253	1021	1798	1038	158
254	1023	1802	1038	180
255	1024	1805	1039	176
256	1024	1808	1039	183
257	1024	1810	1039	173
258	1024	1812	1038	178
259	1023	1815	1038	164
260	1023	1819	1037	149
261	1025	1822	1036	176
262	1025	1825	1037	176
263	1026	1828	1036	162
264	1027	1831	1035	164
265	1027	1833	1033	150
266	1026	1836	1031	144
267	1025	1839	1031	169
268	1025	1842	1030	171
269	1027	1844	1029	165
270	1027	1847	1028	166
271	1027	1850	1026	162
272	1027	1853	1023	153
273	1027	1857	1022	158
274	1027	1861	1023	167
275	1027	1864	1023	176
276	1027	1867	1023	171
277	1027	1870	1021	160
278	1027	1873	1021	143
279	1027	1876	1020	151
280	1027	1877	1021	155
281	1027	1881	1020	149
282	1027	1884	1021	130
283	1028	1886	1022	151
284	1028	1890	1020	165
285	1027	1895	1020	156
286	1027	1899	1020	145
287	1028	1903	1020	155
288	1028	1906	1023	170
289	1028	1908	1026	161
290	1028	1913	1027	141
291	1028	1919	1028	142
292	1028	1921	1027	142
293	1027	1924	1027	157
294	1027	1926	1029	151
295	1026	1928	1027	156
296	1026	1930	1027	162
297	1025	1933	1031	149
298	1026	1935	1031	131
299	1027	1938	1029	156
300	1027	1942	1028	156
301	1028	1943	1027	143
302	1028	1946	1027	135
303	1029	1949	1027	144
304	1030	1952	1028	136
305	1030	1955	1028	143
306	1031	1957	1026	148
307	1031	1959	1022	148
308	1032	1963	1021	140
309	1032	1966	1022	132
310	1032	1968	1024	135
311	1033	1970	1022	134
312	1032	1972	1020	130
313	1033	1976	1021	125
314	1034	1981	1025	127
315	1033	1986	1030	146
316	1033	1991	1033	154
317	1034	1997	1034	151
318	1034	2001	1037	137
319	1034	2004	1039	122
320	1033	2008	1041	128
321	1034	2010	1041	140
322	1034	2013	1042	144
323	1033	2015	1042	144
324	1033	2018	1041	127
325	1033	2019	1042	114
326	1032	2023	1041	115
327	1033	2026	1038	123
328	1034	2028	1038	123
329	1035	2030	1039	122
330	1036	2032	1038	128
331	1036	2034	1036	133
332	1035	2034	1036	145
333	1034	2036	1032	138
334	1033	2038	1032	122
335	1033	2040	1033	129
336	1032	2043	1031	124
337	1032	2045	1028	137
338	1032	2048	1025	133
339	1032	2053	1027	110
340	1032	2056	1027	118
341	1032	2059	1028	124
342	1034	2062	1030	135
343	1035	2064	1033	142
344	1035	2067	1034	136
345	1036	2071	1038	123
346	1037	2075	1042	114
347	1038	2078	1044	124
348	1038	2083	1043	135
349	1039	2088	1044	127
350	1040	2092	1045	134
351	1040	2096	1046	119
352	1040	2098	1045	116
353	1039	2101	1046	114
354	1040	2102	1045	123
355	1040	2105	1044	127
356	1040	2107	1044	119
357	1039	2110	1046	126
358	1039	2111	1045	125
359	1039	2113	1043	111
360	1037	2119	1043	113
361	1036	2124	1045	119
362	1036	2127	1047	123
363	1036	2129	1046	126
364	1036	2135	1048	118
365	1034	2137	1052	105
366	1034	2138	1053	108
367	1032	2141	1053	110
368	1033	2145	1053	113
369	1032	2148	1053	130
370	1031	2152	1052	115
371	1030	2157	1052	108
372	1029	2159	1050	109
373	1028	2162	1049	110
374	1027	2165	1048	115
375	1024	2168	1046	119
376	1023	2171	1044	115
377	1023	2173	1043	118
378	1020	2176	1043	111
379	1018	2178	1043	118
380	1019	2180	1042	127
381	1018	2182	1041	114
382	1019	2186	1041	115
383	1018	2188	1041	114
384	1017	2191	1046	115
385	1016	2194	1048	117
386	1019	2196	1046	116
387	1020	2198	1045	113
388	1020	2199	1049	114
389	1019	2200	1048	109
390	1019	2202	1047	106
391	1017	2204	1046	102
392	1015	2206	1048	116
393	1014	2208	1049	123
394	1015	2210	1049	113
395	1016	2211	1048	102
396	1015	2212	1045	114
397	1015	2214	1044	121
398	1015	2217	1042	95
399	1016	2219	1042	103
400	1018	2221	1037	109
401	1020	2225	1033	112
402	1020	2228	1039	111
403	1019	2234	1045	104
404	1020	2238	1049	109
405	1020	2241	1051	110
406	1018	2243	1053	100
407	1018	2246	1053	99
408	1018	2247	1051	107
409	1018	2247	1051	111
410	1017	2249	1051	114
411	1016	2253	1051	114
412	1014	2255	1053	106
413	1015	2257	1056	106
414	1014	2261	1058	109
415	1013	2263	1058	101
416	1012	2265	1056	101
417	1012	2270	1055	100
418	1013	2273	1052	106
419	1013	2276	1050	108
420	1012	2280	1050	113
421	1012	2283	1051	114
422	1012	2286	1052	107
423	1013	2290	1053	104
424	1013	2291	1056	105
425	1015	2294	1058	108
426	1016	2297	1060	102
427	1015	2300	1062	99
428	1016	2302	1061	93
429	1017	2303	1063	100
430	1018	2304	1063	108
431	1016	2306	1063	100
432	1017	2311	1064	95
433	1018	2316	1064	104
434	1018	2322	1065	105
435	1020	2328	1064	108
436	1021	2333	1063	106
437	1021	2337	1064	98
438	1021	2341	1063	100
439	1022	2347	1064	102
440	1023	2352	1065	106
441	1022	2360	1065	107
442	1022	2364	1065	103
443	1024	2366	1066	101
444	1025	2369	1067	96
445	1023	2373	1068	95
446	1022	2376	1068	104
447	1022	2378	1068	105
448	1021	2380	1068	92
449	1018	2383	1068	85
450	1016	2386	1068	102
451	1016	2389	1070	105
452	1015	2392	1069	99
453	1013	2395	1069	98
454	1012	2397	1070	86
455	1012	2399	1069	95
456	1012	2402	1069	105
457	1012	2403	1069	91
458	1013	2404	1070	94
459	1014	2406	1070	94
460	1012	2409	1071	91
461	1013	2409	1072	84
462	1014	2410	1072	87
463	1013	2410	1073	88
464	1013	2412	1073	88
465	1011	2413	1072	86
466	1008	2419	1073	79
467	1007	2423	1073	86
468	1008	2427	1073	93
469	1005	2432	1075	94
